Term I,Term II,Frequency,in WordNet?
ignite,add,1,FALSE
replace,reload,1,FALSE
check,fire,1,FALSE
intersect,turns,1,FALSE
brace,insert,1,FALSE
evaluate,add,1,FALSE
explode,resolve,1,FALSE
calculate,sum,1,FALSE
assert,ensure,1,FALSE
update,notify,1,FALSE
wrap,converte,1,FALSE
process,forward,1,FALSE
displace,do,1,FALSE
prepare,upload,1,FALSE
assert,match,1,FALSE
fetch,provide,1,FALSE
replace,copy,1,FALSE
uninstall,sheet,1,FALSE
place,copy,1,FALSE
delete,receive,1,FALSE
verify,recognize,1,FALSE
blend,create,1,FALSE
process,widen,1,FALSE
take,parse,1,FALSE
attempt,reload,1,FALSE
generate,knots,1,FALSE
get,contain,1,FALSE
dump,copy,1,FALSE
decode,set,1,FALSE
decrypt,take,1,FALSE
is,send,1,FALSE
splits,parse,1,FALSE
escape,include,1,FALSE
build,reorder,1,FALSE
notify,canvas,1,FALSE
throw,append,1,FALSE
set,click,1,FALSE
show,make,1,FALSE
control,take,1,FALSE
balance,increase,1,FALSE
wake,run,1,FALSE
replace,build,1,FALSE
ignore,associate,1,FALSE
attempt,locate,1,FALSE
clear,reinitialize,1,FALSE
send,save,1,FALSE
allow,show,1,FALSE
clean,test,1,FALSE
clear,zero,1,FALSE
remove,undo,1,FALSE
take,encrypt,1,FALSE
destroy,finish,1,FALSE
display,stack,1,FALSE
read,null,1,FALSE
dump,debug,1,FALSE
finish,dispose,1,FALSE
resume,set,1,FALSE
mount,find,1,FALSE
attempt,find,1,FALSE
do,simplify,1,FALSE
record,copy,1,FALSE
register,registrate,1,FALSE
init,construct,1,FALSE
input,default,1,FALSE
breach,mark,1,FALSE
optimize,reuse,1,FALSE
save,commit,1,FALSE
clear,stop,1,FALSE
modify,run,1,FALSE
handle,action,1,FALSE
allow,switch,1,FALSE
change,applus,1,FALSE
avoid,resist,1,FALSE
share,build,1,FALSE
forget,move,1,FALSE
draw,axes,1,FALSE
cause,concat,1,FALSE
overcome,create,1,FALSE
link,click,1,FALSE
notify,enable,1,FALSE
open,provide,1,FALSE
verify,web,1,FALSE
transform,ensure,1,FALSE
free,find,1,FALSE
frames,verify,1,FALSE
prepare,run,1,FALSE
get,load,1,FALSE
do,up,1,FALSE
take,chop,1,FALSE
uninstall,strokes,1,FALSE
inform,set,1,FALSE
get,guess,1,FALSE
is,want,1,FALSE
display,view,1,FALSE
define,pass,1,FALSE
refactor,download,1,FALSE
hex,make,1,FALSE
write,convert,1,FALSE
call,note,1,FALSE
invoke,set,1,FALSE
click,script,1,FALSE
start,select,1,FALSE
reconcile,end,1,FALSE
frames,click,1,FALSE
transform,create,1,FALSE
work,copy,1,FALSE
invoke,write,1,FALSE
update,combine,1,FALSE
run,consume,1,FALSE
reverse,swap,1,FALSE
describe,paint,1,FALSE
search,set,1,FALSE
get,ignore,1,FALSE
visit,pass,1,FALSE
store,visit,1,FALSE
deserialize,create,1,FALSE
adjust,recalculate,1,FALSE
hide,disable,1,FALSE
wait,begin,1,FALSE
index,allow,1,FALSE
hash,make,1,FALSE
roll,battle,1,FALSE
contain,do,1,FALSE
apply,walk,1,FALSE
click,radio,1,FALSE
export,display,1,FALSE
coordinate,guess,1,FALSE
convert,assume,1,FALSE
add,print,1,FALSE
levels,verify,1,FALSE
verify,run,1,FALSE
replace,flatten,1,FALSE
begin,render,1,FALSE
roll,switch,1,FALSE
stop,send,1,FALSE
contain,push,1,FALSE
means,view,1,FALSE
process,press,1,FALSE
check,validate,1,FALSE
convert,load,1,FALSE
deserialize,load,1,FALSE
imput,add,1,FALSE
roll,calculate,1,FALSE
define,make,1,FALSE
forward,go,1,FALSE
append,verify,1,FALSE
regenerate,reindex,1,FALSE
process,feed,1,FALSE
post,write,1,FALSE
detect,visit,1,FALSE
update,reset,1,FALSE
indent,assume,1,FALSE
trigger,filter,1,FALSE
initial,adjust,1,FALSE
set,resize,1,FALSE
call,bind,1,FALSE
search,issue,1,FALSE
number,trim,1,FALSE
load,make,1,FALSE
pivot,heapify,1,FALSE
invoke,refresh,1,FALSE
connect,track,1,FALSE
dispatch,fire,1,FALSE
test,reorder,1,FALSE
roll,ask,1,FALSE
clean,delete,1,FALSE
assign,chord,1,FALSE
rotate,copy,1,FALSE
cancel,abort,1,FALSE
cite,click,1,FALSE
take,switch,1,FALSE
open,write,1,FALSE
check,intersect,1,FALSE
start,display,1,FALSE
calculate,seed,1,FALSE
update,commit,1,FALSE
send,deploy,1,FALSE
save,assert,1,FALSE
sort,distribute,1,FALSE
report,release,1,FALSE
read,extract,1,FALSE
sort,toggle,1,FALSE
guess,note,1,FALSE
get,reside,1,FALSE
destroy,delete,1,FALSE
fix,paint,1,FALSE
update,send,1,FALSE
default,verify,1,FALSE
undo,reset,1,FALSE
attempt,get,1,FALSE
open,edit,1,FALSE
toggle,do,1,FALSE
clean,create,1,FALSE
recalculate,create,1,FALSE
extinguish,remove,1,FALSE
compare,adjust,1,FALSE
write,prepare,1,FALSE
calculate,make,1,FALSE
hook,visit,1,FALSE
throw,last,1,FALSE
fhe,get,1,FALSE
evaluate,guess,1,FALSE
reset,show,1,FALSE
present,init,1,FALSE
start,feather,1,FALSE
insert,print,1,FALSE
mark,eat,1,FALSE
form,click,1,FALSE
search,contains,1,FALSE
search,refilter,1,FALSE
track,find,1,FALSE
get,fill,1,FALSE
run,keep,1,FALSE
hash,compute,1,FALSE
games,list,1,FALSE
uus,do,1,FALSE
damage,do,1,FALSE
round,produce,1,FALSE
center,get,1,FALSE
pad,set,1,FALSE
register,perform,1,FALSE
grow,resize,1,FALSE
times,multiply,1,FALSE
update,get,1,FALSE
process,terminate,1,FALSE
exit,requires,1,FALSE
adjust,convert,1,FALSE
interpolate,log,1,FALSE
select,click,1,FALSE
destroy,resolve,1,FALSE
exist,refresh,1,FALSE
explore,start,1,FALSE
process,move,1,FALSE
line,parse,1,FALSE
default,revert,1,FALSE
process,invoke,1,FALSE
open,oversee,1,FALSE
launch,play,1,FALSE
add,ensure,1,FALSE
recogize,recognize,1,FALSE
process,scan,1,FALSE
sink,do,1,FALSE
handle,read,1,FALSE
send,resend,1,FALSE
disable,add,1,FALSE
decode,network,1,FALSE
write,close,1,FALSE
get,source,1,FALSE
check,collect,1,FALSE
set,build,1,FALSE
import,prompt,1,FALSE
destroy,shut,1,FALSE
create,resize,1,FALSE
index,find,1,FALSE
verify,leaks,1,FALSE
update,eliminate,1,FALSE
start,redline,1,FALSE
intern,zero,1,FALSE
create,find,1,FALSE
work,add,1,FALSE
replace,generate,1,FALSE
clear,use,1,FALSE
identify,mark,1,FALSE
report,fire,1,FALSE
get,initialize,1,FALSE
replace,relace,1,FALSE
calculate,create,1,FALSE
hash,represent,1,FALSE
update,insert,1,FALSE
initiate,init,1,FALSE
orgnize,prepare,1,FALSE
serialize,commit,1,FALSE
process,decode,1,FALSE
clear,cancel,1,FALSE
apply,do,1,FALSE
apply,handle,1,FALSE
get,init,1,FALSE
segments,join,1,FALSE
body,verify,1,FALSE
duplicate,do,1,FALSE
open,print,1,FALSE
adjust,ensure,1,FALSE
best,compute,1,FALSE
change,select,1,FALSE
displace,randomize,1,FALSE
reset,assume,1,FALSE
spool,add,1,FALSE
distance,get,1,FALSE
become,do,1,FALSE
remove,shrink,1,FALSE
build,parse,1,FALSE
setup,prepare,1,FALSE
board,initialize,1,FALSE
remove,close,1,FALSE
paste,add,1,FALSE
conn,hide,1,FALSE
modify,resize,1,FALSE
replace,draw,1,FALSE
recompute,validate,1,FALSE
add,stack,1,FALSE
load,user,1,FALSE
set,saturate,1,FALSE
tear,reset,1,FALSE
round,prepare,1,FALSE
allow,confirm,1,FALSE
force,discard,1,FALSE
register,maintain,1,FALSE
read,init,1,FALSE
insert,escape,1,FALSE
verify,make,1,FALSE
clear,execute,1,FALSE
update,match,1,FALSE
face,respond,1,FALSE
control,reverse,1,FALSE
process,complete,1,FALSE
restore,pop,1,FALSE
dispose,up,1,FALSE
draw,display,1,FALSE
grab,record,1,FALSE
update,begin,1,FALSE
start,notify,1,FALSE
clear,destroy,1,FALSE
work,tag,1,FALSE
start,init,1,FALSE
check,recheck,1,FALSE
start,wait,1,FALSE
draw,prepare,1,FALSE
export,save,1,FALSE
submit,click,1,FALSE
change,resize,1,FALSE
click,sample,1,FALSE
calculate,adjust,1,FALSE
do,extract,1,FALSE
update,partition,1,FALSE
let,notify,1,FALSE
resolve,sink,1,FALSE
handle,invoke,1,FALSE
fill,build,1,FALSE
satisfy,construct,1,FALSE
conn,connect,1,FALSE
request,run,1,FALSE
install,create,1,FALSE
tear,print,1,FALSE
resolve,loop,1,FALSE
blow,find,1,FALSE
compile,ask,1,FALSE
address,reenable,1,FALSE
cancel,signify,1,FALSE
stop,dispose,1,FALSE
distance,compute,1,FALSE
destroy,remove,1,FALSE
retrieve,run,1,FALSE
search,sniff,1,FALSE
rethrow,throw,1,FALSE
download,ensure,1,FALSE
truncate,delete,1,FALSE
compute,prepare,1,FALSE
serialize,declare,1,FALSE
select,move,1,FALSE
transform,extract,1,FALSE
issue,repaint,1,FALSE
send,set,1,FALSE
verify,init,1,FALSE
drive,do,1,FALSE
debug,run,1,FALSE
write,debug,1,FALSE
frame,forward,1,FALSE
send,notify,1,FALSE
handle,comment,1,FALSE
body,click,1,FALSE
sort,resort,1,FALSE
check,exists,1,FALSE
store,push,1,FALSE
simulate,scroll,1,FALSE
open,ensure,1,FALSE
expand,refresh,1,FALSE
open,add,1,FALSE
update,throw,1,FALSE
pause,sleep,1,FALSE
spawn,send,1,FALSE
handle,echo,1,FALSE
get,brace,1,FALSE
get,search,1,FALSE
get,remove,1,FALSE
cause,navigate,1,FALSE
remove,disconnect,1,FALSE
let,spin,1,FALSE
transform,encode,1,FALSE
submit,reset,1,FALSE
read,download,1,FALSE
delete,null,1,FALSE
update,change,1,FALSE
frame,allow,1,FALSE
source,tell,1,FALSE
request,switch,1,FALSE
switch,go,1,FALSE
toggle,run,1,FALSE
shadow,blacken,1,FALSE
inform,load,1,FALSE
clear,hide,1,FALSE
encode,network,1,FALSE
finalize,close,1,FALSE
get,sum,1,FALSE
gzip,log,1,FALSE
check,ask,1,FALSE
flatten,convert,1,FALSE
process,release,1,FALSE
roll,take,1,FALSE
inform,insert,1,FALSE
reset,close,1,FALSE
remove,equal,1,FALSE
beep,make,1,FALSE
format,create,1,FALSE
update,store,1,FALSE
display,show,66,TRUE
make,create,42,TRUE
clear,remove,37,TRUE
make,copy,25,TRUE
remove,delete,19,TRUE
save,write,18,TRUE
verify,assert,14,TRUE
populate,fill,13,TRUE
select,choose,11,TRUE
put,set,11,TRUE
make,ensure,10,TRUE
process,handle,9,TRUE
get,create,9,TRUE
write,print,6,TRUE
train,learn,6,TRUE
mark,invalidate,6,TRUE
get,find,6,TRUE
action,perform,5,TRUE
execute,run,5,TRUE
calculate,recalculate,5,TRUE
generate,create,5,TRUE
transmit,send,5,TRUE
set,initialize,5,TRUE
add,insert,5,TRUE
set,select,4,TRUE
construct,make,4,TRUE
put,insert,4,TRUE
create,copy,4,TRUE
build,make,4,TRUE
test,try,4,TRUE
append,add,4,TRUE
set,do,4,TRUE
build,create,4,TRUE
remove,cancel,4,TRUE
set,adjust,4,TRUE
construct,build,3,TRUE
change,go,3,TRUE
write,create,3,TRUE
add,make,3,TRUE
start,create,3,TRUE
set,reset,3,TRUE
repaint,paint,3,TRUE
overlie,overlay,3,TRUE
start,begin,3,TRUE
send,move,3,TRUE
set,change,2,TRUE
draw,plot,2,TRUE
do,spend,2,TRUE
fetch,retrieve,2,TRUE
set,ready,2,TRUE
shrink,decrease,2,TRUE
send,broadcast,2,TRUE
delete,edit,2,TRUE
dispose,prepare,2,TRUE
attempt,try,2,TRUE
set,prepare,2,TRUE
stop,close,2,TRUE
figure,calculate,2,TRUE
get,make,2,TRUE
draw,write,2,TRUE
locate,find,2,TRUE
verify,ensure,2,TRUE
work,transform,2,TRUE
brush,sweep,2,TRUE
change,add,2,TRUE
append,insert,2,TRUE
construct,create,2,TRUE
fit,set,2,TRUE
put,move,2,TRUE
request,tell,2,TRUE
check,verify,2,TRUE
grow,increase,2,TRUE
scroll,move,2,TRUE
set,move,2,TRUE
throw,remove,2,TRUE
guess,make,2,TRUE
edit,cut,2,TRUE
cause,do,2,TRUE
move,seek,2,TRUE
destroy,kill,2,TRUE
process,run,2,TRUE
get,enter,2,TRUE
execute,do,2,TRUE
start,set,2,TRUE
check,contain,1,TRUE
show,run,1,TRUE
get,start,1,TRUE
end,close,1,TRUE
thread,run,1,TRUE
arrange,do,1,TRUE
process,treat,1,TRUE
set,place,1,TRUE
remove,clean,1,TRUE
evaluate,mark,1,TRUE
read,scan,1,TRUE
search,scan,1,TRUE
take,find,1,TRUE
force,push,1,TRUE
get,mean,1,TRUE
change,translate,1,TRUE
clear,free,1,TRUE
style,create,1,TRUE
prepare,create,1,TRUE
terminate,close,1,TRUE
look,check,1,TRUE
open,start,1,TRUE
finish,complete,1,TRUE
touch,move,1,TRUE
clear,empty,1,TRUE
transform,change,1,TRUE
start,enter,1,TRUE
grow,expand,1,TRUE
reverse,reorder,1,TRUE
take,change,1,TRUE
do,make,1,TRUE
convert,float,1,TRUE
remove,extract,1,TRUE
set,write,1,TRUE
track,create,1,TRUE
start,initiate,1,TRUE
read,show,1,TRUE
start,go,1,TRUE
change,fill,1,TRUE
change,modify,1,TRUE
flash,display,1,TRUE
calculate,compute,1,TRUE
create,render,1,TRUE
remove,take,1,TRUE
change,end,1,TRUE
do,move,1,TRUE
send,commit,1,TRUE
remove,strip,1,TRUE
break,separate,1,TRUE
check,ensure,1,TRUE
do,create,1,TRUE
replace,convert,1,TRUE
invoke,create,1,TRUE
cut,make,1,TRUE
put,load,1,TRUE
tell,add,1,TRUE
write,make,1,TRUE
finish,end,1,TRUE
get,run,1,TRUE
execute,complete,1,TRUE
dispose,remove,1,TRUE
set,modify,1,TRUE
clear,create,1,TRUE
take,make,1,TRUE
move,push,1,TRUE
record,save,1,TRUE
shut,close,1,TRUE
encode,convert,1,TRUE
calculate,add,1,TRUE
arrange,cascade,1,TRUE
get,receive,1,TRUE
generate,give,1,TRUE
stop,halt,1,TRUE
